member_id,full_name,nationality,gender,date_of_birth,age,height_cm,weight_kg,address,emergency_contact,join_date,subscription_plan,plan_duration_months,amount_paid,payment_method,renewal_date,subscription_end_date,membership_status,trainer_type
1001,Jeremy Pollard,Nigerian,Male,1976-11-11,49,178,69,"GRA, Ilorin",973-032-7115x2259,2025-08-16,Couple (1 Month),1,34000,POS,2025-09-15,2025-09-15,Active,Personal
1002,Wesley Long,Nigerian,Male,1988-09-11,37,188,78,"GRA, Ilorin",924.319.2101x503,2025-03-07,3 Months,3,45000,Transfer,2025-06-05,2025-06-12,Active,Personal
1003,Jordan Taylor,Nigerian,Male,1990-07-03,35,173,84,"GRA, Ilorin",+1-080-730-9382,2024-03-18,Couple (1 Month),1,34000,Transfer,2024-04-17,2024-04-17,Expired,General
1004,Brian Baker,Nigerian,Male,2005-10-18,20,170,87,"GRA, Ilorin",001-644-460-6410,2024-08-15,1 Year,12,120000,Transfer,2025-08-10,2025-08-10,Active,General
1005,Justin Miller,Lebanese,Male,2002-03-01,23,193,103,"GRA, Ilorin",022-386-1185x19440,2024-05-08,6 Months,6,75000,POS,2024-11-04,2024-11-04,Expired,General
1006,Michael Lucas,Nigerian,Male,1994-05-25,31,177,114,"GRA, Ilorin",766-055-9183,2024-11-25,Couple (1 Month),1,34000,POS,2024-12-25,2024-12-18,Expired,General
1007,Daniel Lee,Chinese,Male,1970-04-06,55,193,109,"GRA, Ilorin",3272064299,2025-07-27,3 Months,3,45000,Transfer,2025-10-25,2025-10-25,Active,None
1008,Raymond Stein,Nigerian,Male,2005-11-18,20,186,105,"GRA, Ilorin",001-903-526-1675,2024-06-03,Couple (1 Month),1,34000,Transfer,2024-07-03,2024-06-26,Grace,Personal
1009,Charles Stanton,Nigerian,Male,1989-02-25,36,167,58,"GRA, Ilorin",001-749-283-4294,2025-03-22,6 Months,6,75000,Transfer,2025-09-18,2025-10-02,Active,None
1010,Samuel Brown,Nigerian,Male,1967-07-26,58,158,107,"GRA, Ilorin",(270)667-3692x84544,2024-05-28,Individual (1 Month),1,18000,POS,2024-06-27,2024-06-27,Grace,General
1011,Zachary Becker,Chinese,Male,2001-07-22,24,156,98,"GRA, Ilorin",001-831-734-6834,2025-04-08,3 Months,3,45000,Transfer,2025-07-07,2025-07-07,Active,General
1012,Jason Coffey,Nigerian,Male,1972-05-21,53,163,90,"GRA, Ilorin",+1-769-788-8237x20487,2025-09-12,Individual (2 Months),2,33000,Transfer,2025-11-11,2025-11-11,Active,General
1013,Joanne Miller,Nigerian,Female,1995-11-23,30,155,108,"GRA, Ilorin",1916906102,2024-12-08,Individual (2 Months),2,33000,Transfer,2025-02-06,2025-02-20,Grace,General
1014,Jonathon Peters,Nigerian,Male,1995-06-26,30,167,98,"GRA, Ilorin",593-760-3863x70380,2024-07-16,Couple (1 Month),1,34000,Transfer,2024-08-15,2024-08-15,Expired,None
1015,Victoria White,Nigerian,Female,1969-06-09,56,163,102,"GRA, Ilorin",926.657.7233x271,2025-02-18,4 People (1 Month),1,58000,Transfer,2025-03-20,2025-04-03,Expired,General
1016,Gregory Walsh,Nigerian,Male,2001-01-18,24,189,107,"GRA, Ilorin",+1-576-182-6487x1682,2025-02-18,Individual (1 Month),1,18000,Transfer,2025-03-20,2025-04-03,Grace,General
1017,Carrie Bryant,Nigerian,Female,1965-01-23,60,194,95,"GRA, Ilorin",389-607-9700,2024-04-13,6 Months,6,75000,POS,2024-10-10,2024-10-24,Grace,General
1018,Samuel Smith,Nigerian,Male,2000-07-31,25,174,63,"GRA, Ilorin",692-305-1363,2024-08-26,3 Months,3,45000,POS,2024-11-24,2024-11-24,Expired,None
1019,Brent Cross,Nigerian,Male,1966-01-31,59,173,117,"GRA, Ilorin",001-056-719-6502x168,2024-09-13,6 Months,6,75000,Transfer,2025-03-12,2025-03-19,Grace,None
1020,Rhonda Williams,Chinese,Female,1980-12-20,45,184,89,"GRA, Ilorin",+1-600-171-4438x29616,2025-01-12,Couple (1 Month),1,34000,POS,2025-02-11,2025-02-18,Grace,None
1021,Anthony Williamson,Nigerian,Male,1967-10-31,58,188,95,"GRA, Ilorin",649.062.3529x7389,2024-06-26,1 Year,12,120000,Transfer,2025-06-21,2025-06-28,Active,None
1022,Lisa Hughes,Nigerian,Female,1965-02-01,60,161,88,"GRA, Ilorin",930.743.7164,2024-07-07,Individual (1 Month),1,18000,POS,2024-08-06,2024-08-20,Expired,General
1023,Michael Stewart,Nigerian,Male,1968-08-05,57,173,91,"GRA, Ilorin",782.755.2230x94907,2025-01-01,Couple (1 Month),1,34000,POS,2025-01-31,2025-02-14,Expired,Personal
1024,Paul Campbell,Nigerian,Male,1966-05-06,59,176,89,"GRA, Ilorin",(848)009-5671x493,2025-11-18,Individual (1 Month),1,18000,Transfer,2025-12-18,2025-12-11,Active,General
